epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,1.3703821567886374,0.5283188004237633,1.1589253944115785,0.6229615133724723,0.001
2,1.257462738074375,0.5721620079863092,1.1265642593207112,0.6333985649054142,0.001
3,1.2061998631685873,0.5981582593105697,1.0761580778272495,0.6666666666666666,0.001
4,1.1758113974474158,0.6128269904653247,1.0758371850826813,0.6418786692759295,0.001
5,1.144335107225902,0.6272512427675007,1.0664985227336,0.6555772994129159,0.001
6,0.9998998283883314,0.6920381387010024,0.8684224945536176,0.7547292889758643,2e-05
7,0.8587062218721412,0.7481052888925108,0.8185009331930251,0.7756033920417482,2e-05
8,0.7657088096290839,0.7927634259636541,0.7640642436283208,0.8030006523157208,2e-05
9,0.7154470577225224,0.815988916958683,0.7494279583995045,0.8049575994781474,2e-05
10,0.6667480411530318,0.8391329150028523,0.7202079018112576,0.8186562296151337,2e-05
11,0.6162363711385406,0.8616249694401434,0.7143322841373053,0.8186562296151337,2e-05
12,0.5799197716824088,0.8777605737103741,0.6925864200613815,0.8290932811480757,2e-05
13,0.5344938882677064,0.9004971070002444,0.7350335768135404,0.8186562296151337,2e-05
14,0.5115612249737331,0.907505500774183,0.6930073893933381,0.8336594911937377,2e-05
15,0.4841366066014443,0.9175291337299324,0.677508981338297,0.8388780169602087,2e-05
16,0.46305402877540425,0.9295900904571754,0.6779863558325671,0.8395303326810176,2e-05
17,0.43337723557168584,0.9426289625947356,0.6790766830313696,0.8532289628180039,2e-05
18,0.41996770998578853,0.9490669057126558,0.6971250117330557,0.8447488584474886,2e-05
19,0.4104661776329562,0.9528155814522044,0.6897259806000323,0.8519243313763861,2e-05
20,0.39218617574615455,0.9615353271941977,0.6884414851471091,0.8538812785388128,2e-05
21,0.38567238382338775,0.9636541439165512,0.6938643702788829,0.8434442270058709,2e-05
22,0.3655888037176997,0.9719664249042458,0.6782761234826538,0.8480104370515329,2e-05
23,0.3654272293278975,0.9709885094939288,0.6710650594267127,0.857795172863666,2e-05
24,0.3535692418819437,0.9762855512998125,0.6836036565796814,0.8447488584474886,2e-05
25,0.34773276744208664,0.9778339173661478,0.6678805185624065,0.8558382257012394,2e-05
26,0.3401575208234861,0.9803601988428001,0.7067941041530851,0.8454011741682974,7e-06
27,0.32812349961056764,0.9840273816314888,0.6704605165759645,0.852576647097195,7e-06
28,0.3223570561231217,0.987939043272757,0.6711780630679046,0.8506196999347684,7e-06
29,0.3177668838617165,0.9889169586830739,0.6598212237616263,0.852576647097195,2.45e-06
30,0.31231244170581224,0.9901393529459702,0.657785942137669,0.8564905414220483,2.45e-06
31,0.31439002418166395,0.9898133811425311,0.6601851795206487,0.8551859099804305,2.45e-06
